word,imgability
ace,4.5
ache,3.8
act,3.5
ad,4.1
add,3.3
aft,1.6
age,3.4
aid,3.5
aide,2.5
ail,1.9
aim,3.9
air,4.0
aisle,5.3
ale,4.0
all,2.3
alms,2.3
alp,2.7
am,1.8
an,1.2
and,1.3
ant,6.7
ape,6.8
apse,1.3
apt,1.9
arc,5.0
arch,5.1
are,1.3
ark,5.7
arm,6.8
art,4.6
arts,4.0
as,1.4
ash,5.7
ask,2.7
ass,6.0
at,1.4
ate,3.9
aunt,6.2
awe,2.3
ax,6.2
axe,6.3
aye,1.7
babe,5.7
back,5.0
bad,2.4
badge,5.9
bag,6.4
bail,3.9
bait,5.6
bake,5.1
bald,6.2
bale,3.4
balk,1.8
ball,6.6
balm,4.3
ban,2.9
band,6.0
bane,2.1
bang,3.7
bank,6.1
bar,6.1
barb,4.3
bare,3.9
barge,5.7
bark,5.0
barn,6.9
base,4.4
bash,3.2
bask,2.6
bass,5.7
baste,3.5
bat,6.2
batch,3.8
bath,6.0
bathe,4.5
bawl,3.6
bay,5.2
be,1.3
beach,6.5
bead,6.0
beak,5.2
beam,4.6
bean,6.6
bear,6.7
beard,6.3
beast,5.6
beat,3.4
beau,3.1
beck,2.0
bed,6.6
bee,6.9
beech,3.4
beef,6.5
been,1.9
beer,6.1
beet,4.8
beg,3.7
beige,5.3
belch,4.6
bell,6.6
belle,3.9
belt,6.5
bench,6.5
bend,3.9
bent,4.7
berth,2.0
best,2.7
bet,3.1
bib,5.9
bid,3.4
bide,1.6
big,4.5
bike,6.8
bile,3.6
bilge,1.7
bill,5.4
bin,5.1
bind,3.1
binge,2.9
birch,4.1
bird,6.4
birth,5.1
bit,3.6
bitch,5.4
bite,5.2
blab,2.9
black,6.4
blade,5.8
blah,2.2
blame,2.7
blanch,2.9
bland,2.3
blank,3.7
blare,2.9
blast,4.8
blaze,4.9
bleach,5.7
bleak,2.8
bleat,2.1
bled,4.1
bleed,5.7
blend,4.2
bless,2.9
blew,3.9
blight,2.2
blimp,5.6
blind,4.4
blinds,5.7
blink,5.5
bliss,3.1
blithe,1.6
blitz,3.4
bloat,3.7
blob,4.4
block,5.7
bloke,2.4
blonde,6.3
blood,6.4
bloom,5.0
blot,4.0
blotch,4.2
blouse,6.4
blow,4.2
blown,3.4
blue,6.1
bluff,3.7
blunt,4.3
blur,4.1
blurt,2.7
blush,5.2
boar,4.6
board,5.8
boast,2.8
boat,6.7
bob,3.5
bode,2.0
bog,2.9
boil,5.5
bold,2.9
bolt,5.6
bomb,6.4
bond,4.0
bone,6.4
book,6.3
boom,3.8
boon,2.0
boost,2.9
boot,6.9
booth,5.6
booze,5.9
bore,2.5
bored,3.6
borne,2.4
bosh,1.8
boss,5.1
botch,2.4
both,2.3
bough,2.0
bought,3.2
bounce,4.7
bound,3.3
bout,1.8
bowl,6.3
box,6.7
boy,6.2
bra,6.6
brace,4.8
brag,3.1
braid,5.9
brain,6.4
braise,2.0
brake,5.3
bran,3.2
branch,6.0
brand,3.9
brash,2.3
brass,5.8
brat,5.0
brave,3.3
brawl,4.1
braze,2.3
breach,3.3
bread,6.2
breadth,1.8
break,4.5
breast,6.7
breath,5.0
breathe,3.8
bred,3.1
breech,2.8
breed,3.9
breeze,4.4
brew,4.6
bribe,3.7
brick,6.6
bride,6.4
bridge,6.7
brief,2.5
brig,2.2
bright,4.4
brim,3.8
bring,2.6
brink,3.1
brisk,2.6
broach,4.0
broad,3.3
broil,4.3
broke,3.7
bronze,5.6
brooch,3.3
brood,3.2
brook,5.8
broom,6.6
broth,4.5
brought,2.1
brow,4.8
brown,5.8
browse,3.6
bruise,6.3
brunch,3.8
brunt,2.1
brush,6.2
brute,4.0
buck,5.9
bud,4.9
budge,3.1
buff,4.0
bug,6.7
build,3.8
built,3.4
bulb,6.6
bulge,4.8
bulk,3.5
bull,6.2
bum,5.0
bump,4.9
bun,6.0
bunch,4.0
bunk,4.8
bunt,3.8
burl,1.8
burn,4.7
burp,4.7
burr,4.4
burst,3.5
bus,6.8
bush,6.3
buss,2.2
bust,4.6
but,1.9
butch,4.5
butt,6.3
buy,3.6
buzz,4.0
by,1.6
bye,2.9
cab,6.7
cache,2.6
cage,6.4
cake,6.8
calf,6.5
call,4.4
calm,2.8
calve,5.2
cam,2.6
came,2.4
camp,6.4
can,5.1
cane,6.4
cap,6.2
cape,6.2
car,6.9
card,6.4
care,3.1
carp,4.6
cart,6.0
carve,4.8
case,4.5
cash,6.6
cask,2.7
cast,4.4
caste,2.4
cat,6.5
catch,4.4
caught,3.3
caulk,3.7
cause,1.8
cave,6.7
cease,2.7
cell,5.8
cent,5.7
chafe,2.5
chaff,2.2
chain,6.5
chair,6.5
chaise,2.0
chalk,6.8
champ,4.6
chance,2.1
change,3.2
chant,4.0
chap,3.5
char,3.2
chard,2.9
charge,3.4
charm,4.5
chart,5.7
chase,4.4
chasm,2.6
chaste,2.5
chat,4.2
cheap,3.1
cheat,3.7
check,4.9
cheek,6.4
cheep,2.9
cheer,4.6
cheese,6.4
chef,6.2
chess,6.3
chest,6.1
chew,4.9
chic,4.0
chick,5.9
chide,2.1
chief,5.9
child,6.4
chill,3.7
chime,5.1
chimp,6.6
chin,6.2
chip,5.7
chirp,4.2
chive,4.7
chock,1.8
choice,2.6
choir,5.5
choke,5.0
choose,2.3
chop,4.5
chord,4.6
chore,4.2
chose,2.8
chow,4.3
chrome,5.9
chuck,3.5
chug,4.1
chum,3.7
chump,3.9
chunk,4.5
church,6.7
churn,4.9
chute,3.7
cinch,2.7
cite,2.3
clack,2.0
clad,2.1
claim,2.6
clam,6.0
clamp,4.6
clan,4.9
clang,3.0
clank,3.0
clap,5.6
clash,3.8
clasp,4.1
class,5.6
clause,2.4
claw,6.0
clay,6.1
clean,4.5
cleanse,4.0
clear,3.6
cleat,3.9
cleave,2.5
clef,2.9
cleft,3.9
clench,3.4
clerk,6.2
click,3.7
cliff,6.3
climb,5.4
clinch,3.3
cling,4.0
clink,2.4
clip,5.2
clique,3.8
cloak,5.4
clock,6.8
clod,3.3
clog,4.5
clone,4.8
clop,2.3
close,3.7
clot,4.2
cloth,6.0
clothe,4.6
clothes,6.4
cloud,6.7
clout,2.1
clove,4.7
clown,6.9
club,5.5
cluck,3.6
clue,4.2
clump,3.9
clung,3.1
clutch,4.1
coach,6.0
coal,6.3
coarse,3.7
coast,5.4
coat,6.7
coax,2.1
cob,5.4
cock,5.1
cod,4.3
code,3.9
coin,6.5
coke,6.8
cold,4.2
colt,6.1
comb,6.4
come,2.2
con,2.3
cone,5.8
conk,2.6
cook,5.4
cool,3.3
coon,5.1
coop,3.6
coot,1.9
cop,6.4
cope,2.5
cord,5.9
core,4.3
cork,6.2
corn,6.8
corps,3.9
corpse,6.4
cost,3.8
cot,5.4
couch,6.7
cough,5.6
could,1.7
count,4.4
coup,2.7
course,3.1
court,6.3
cove,4.5
cow,6.8
coy,2.2
crab,6.4
crack,4.9
craft,4.5
cram,3.7
cramp,4.5
crane,5.9
crank,4.1
craps,4.0
crash,4.6
crate,6.1
crave,3.5
crawl,4.4
craze,2.7
creak,4.2
cream,5.7
crease,4.1
creed,3.8
creek,5.9
creep,4.0
crepe,3.1
crept,4.0
crest,5.4
crew,5.2
crib,6.1
crick,3.0
crime,4.0
cringe,3.7
crisp,4.0
croak,3.5
crock,3.3
crook,5.0
croon,2.4
crop,5.6
cross,6.3
crotch,5.3
crouch,4.4
crow,6.3
crowd,5.3
crown,6.2
crude,2.5
cruise,5.6
crumb,6.2
crunch,4.1
crush,4.7
crust,5.8
crutch,5.8
cry,5.3
crypt,5.0
cub,5.8
cube,6.1
cud,2.8
cue,3.3
cuff,5.4
cult,4.8
cup,6.7
curb,5.8
curd,3.3
cure,3.2
curl,5.1
curse,3.4
curt,2.4
curve,4.4
cusp,1.8
cut,5.1
cute,4.4
cyst,3.0
czar,3.2
dab,3.1
dad,6.7
daft,1.8
dale,3.2
dam,5.3
dame,3.5
damn,3.2
damp,4.2
dance,5.6
dank,2.2
dare,2.5
dark,4.6
darn,2.0
dart,6.1
dash,3.8
date,4.8
daunt,2.3
dawn,5.3
day,4.8
days,4.0
daze,3.1
dead,5.3
deaf,3.3
deal,3.0
dealt,2.8
dean,4.6
dear,3.6
dearth,1.4
death,4.7
debt,4.0
deck,6.4
deed,3.4
deem,1.8
deep,4.3
deer,6.7
dell,3.5
den,5.4
dense,3.0
dent,5.3
depth,3.5
desk,6.4
deuce,3.2
dew,5.7
dice,6.4
did,1.9
die,4.4
dig,5.4
dike,4.0
dill,4.3
dim,3.8
dime,6.8
din,2.7
dine,3.5
dip,4.3
dire,1.9
dirge,1.7
dirt,6.2
dish,6.2
ditch,5.9
dive,4.6
do,1.7
dock,6.1
dodge,4.9
doe,5.8
does,1.6
dog,6.9
dole,2.6
doll,6.4
dolt,1.8
dome,4.8
don,2.4
done,2.3
doom,3.4
dope,4.9
dorm,6.0
dose,3.3
dot,6.3
dote,2.0
doubt,2.5
douche,3.0
dough,5.9
dour,1.5
douse,2.6
dove,6.5
down,4.0
dowse,2.6
doze,4.1
drab,2.7
draft,4.0
drag,4.5
drain,5.5
drake,3.7
drank,4.6
drape,4.7
draught,2.4
draw,5.0
drawer,6.0
drawl,2.8
dread,2.7
dream,4.9
dreamt,3.2
dredge,2.6
drench,4.2
dress,6.0
drew,3.9
drift,3.5
drill,6.0
drink,5.7
drip,4.9
drive,5.3
droll,2.2
drone,3.1
drool,5.0
droop,3.6
drop,4.3
drought,3.8
drove,4.4
drown,4.7
drowse,2.8
drug,5.6
drum,6.4
drunk,5.0
dry,3.8
dub,2.0
duck,6.5
duct,3.5
dud,3.0
dude,5.2
due,2.1
dug,4.7
duke,4.6
dull,3.0
dumb,3.5
dump,4.7
dunce,3.3
dune,4.5
dung,3.7
dunk,4.9
dupe,1.9
dusk,5.2
dust,5.2
dwarf,6.4
dwell,3.1
dye,5.2
each,2.3
ear,6.8
earl,3.2
earn,3.0
earth,6.5
ease,2.6
east,4.2
eat,4.8
ebb,1.4
edge,5.1
eel,6.3
eight,5.9
eke,1.6
elf,6.6
elk,6.0
elm,5.8
else,1.7
elves,6.5
end,3.0
etch,3.2
eve,3.3
ewe,3.9
eye,6.7
face,6.4
fact,2.6
fad,2.8
fade,4.0
fag,3.7
fail,3.1
faint,4.6
fair,3.8
faith,3.5
fake,3.2
fall,4.8
false ,2.7
fame,3.5
fan,6.0
fang,6.1
far,3.5
farce,2.1
fare,2.5
farm,6.2
fast,3.0
fat,5.8
fate,3.0
fault,2.1
fawn,6.3
faze,2.4
fear,2.9
feast,5.5
feat,2.1
fed,3.4
fee,3.7
feed,4.4
feel,2.9
feet,6.7
feign,2.2
fell,3.7
felt,3.1
fence,6.6
fend,2.5
fern,6.2
fetch,4.0
feud,3.8
few,2.7
fib,3.2
field,6.5
fiend,3.4
fierce,3.6
fife,2.2
fifth,4.4
fig,5.1
fight,4.8
file,5.8
fill,3.5
film,6.0
filth,4.6
fin,5.3
finch,4.3
find,2.5
fine,2.4
fir,3.5
fire,6.5
firm,4.1
first,4.1
fish,6.8
fist,6.5
fit,3.1
five,5.8
